Presenter Name,Institution
---. .Co-operative Action. New York,NY: Cambridge University Press.
---X,"J. ZacksQueen’s University Kingston, Canada"
---X,R PenlingtonNorthumbria University UK
A Becevel,"School of Computer Science, Technological University Dublin Dublin, Ireland"
A Brown,"Ulster University Belfast, United Kingdom"
A Curley,"School of Computer Science, Technological University Dublin Dublin, Ireland"
A Filba-Martinez,"UPC-BarcelonaTech & Catalonia Institute for Energy Research Barcelona, Spain"
A Garrido,"Universidad Politécnica de Madrid - WP-EELISA University Alliance Madrid, Spain"
A Hingle,George Mason University
A Johri,George Mason University
A Johri,"George Mason University Fairfax, USA"
A Kakko,"Jamk University of Applied Sciences Jyväskylä, Finland"
A Lourens,"Nelson Mandela University Port Elizabeth, South Africa ---"
A McDonnell,"School of Mechanical Engineering,Technological University Dublin Dublin, Ireland"
A Michelson,"Tallinn University of Technology Tallinn, Estonia"
A Moktefi,"Ragnar Nurkse Department of Innovation and Governance, Tallinn University of Technology"
A Pevkur,"Department of Business Administration, Tallinn University of Technology Tallinn, Estonia"
A Valentine,"University of Melbourne Melbourne, Australia---"
A Winkens,Research Group Gender and Diversity in Engineering RWTH Aachen University
A de Agustin Camacho,"KU Leuven; University of Aruba Leuven, Belgium; Aruba orcid.org/---"
A.,"R. SubraAalto University Aalto, Finland"
A. Bachmann,"Massachusetts Institute of Technology Cambridge, MA, USA"
A. Bagiati,"Massachusetts Institute of Technology Cambridge, MA, USA"
A. Byrne,"TU Dublin, School of Transport & Civil Engineering Dublin, Ireland"
A. Byrne,"Technological University Dublin, School of Transport & Civil Engineering: Dublin, Ireland"
A. Dorschu,"Hochschule Ruhr West, University of Applied Sciences Mülheim an der Ruhr, Germany"
A. Gardner,"Faculty of Engineering & IT, University of Technology Sydney Sydney, Australia"
A. Gonzalez-Buelga,"University of Bristol Bristol, UK"
A. Grano,"University of Applied Sciences Wiener Neustadt Wiener Neustadt, Austria"
A. H. Encinas,University of Salamanca ORCID ---X
A. H. Encinas,"University of Salamanca, Salamanca, Spain ORCID ---X"
A. Holzer,"Information Management Institute, Université de Neuchâtel (UniNE)"
