Presenter Name,Institution
functionality is disabled. It JavaScript,"Aarnio, HannaAalto University, FinlandWS session 2-2-07 Re-imagining engineering education through solving interdisciplinary course design challenges"
to use this function of ConfTool. has to be enabled,"Aarnio, HannaAalto University, FinlandWS session 2-2-07 Re-imagining engineering education through solving interdisciplinary course design challenges"
. SEFI2024@epfl.ch,"Aarnio, HannaAalto University, FinlandWS session 2-2-07 Re-imagining engineering education through solving interdisciplinary course design challenges"
Hanna Aarnio,"Aalto University, FinlandWS session 2-2-07 Re-imagining engineering education through solving interdisciplinary course design challenges"
Alaa Abdalla,"Technical University of Eindhoven, Netherlands, TheCognition and MetacognitionPresenter"
Victoria Abou Khalil,"EPFL, SwitzerlandPBL in PracticePresenterPBL in Practice"
Emrah Acar,"Istanbul Technical Unversity, TurkiyeWS session 3-2-06 The learning station model: Co-creation with students and stakeholders as a practice for knowing, thinking,feeling, and doingPresenter"
Stephanie Adams,"University of Texas- Dallas, United States of AmericaWS session 2-2-10 Sharing effective practices for supporting entering doctoral studentsPresenter"
Youn Affejee,"University of Warwick, United KingdomAttracting Students to STEM EducationPresenter"
Marta Aguilar-Perez,"Universitat Politècnica de Catalunya, UPC, SpainTools to support learning in Interdisciplinary Challenges"
Semra Ahmetolan,"Istanbul Technical Unversity, TurkiyeWS session 3-2-06 The learning station model: Co-creation with students and stakeholders as a practice for knowing, thinking,feeling, and doing"
Mikko Äijälä,"Lappeenranta-Lahti University of Technology LUT, FinlandTeaching for Inclusivity in Engineering programmes"
Fudail Ajaz,"The University of Sheffield, United KingdomInclusivity & Belonging"
Zohaib Akhtar,"Imperial College London, United KingdomPoster session (incl. refreshment break)Presenter"
Folashade Akinmolayan,Queen Mary University of LondonDiversity in Engineering Education Experiences
Beanta Alberink,"EPFL, SwitzerlandWell-being & CarePresenter"
Mira Alhonsuo,"Lapland University of Applied Sciences, FinlandCredentials, Competences and Life Long Learning"
Armin Alimardani,"University of Wollongong, AustraliaGenerative AI and LLMs"
Montserrat Alsina,"Universitat Politècnica de Catalunya, SpainMathematics and Real world dataPresenter"
Sabine Ammon,"Technische Universität Berlin, GermanyTeaching Responsible Engineering"
María Anciones-Polo,"Universidad de Salamanca, SpainMathematics and Real world dataMathematics and Real world data"
Trine Højberg Andersen,"NTNU, NorwayLearning and Testing in MathematicsPresenterWS session 3-2-08 Designing teaching and learning activities in different learning spaces: Considering pace, place and pedagogyPresenter"
Jesper Andersson,"Linnaeus University, SwedenDiversity in Engineering Education Experiences"
Juhani Angelva,"Lapland UAS, FinlandPerspectives on AIPresenter"
Saira Anwar,"Texas A&M University, USAMetacognition and Reflection in  Engineering Education"
Khaldon Araffa,"Delft University of Technology, the NetherlandsAttracting Students to STEM Education"
Shameela Arbi,"University of Cape Town, South AfricaGender and Engineering ExperiencesPresenter"
Rawad Asfour,"Department of Electronic and Electrical Engineering, University of Sheffield, United KingdomEngineering Skills: Thinking, Acting and Feeling"
Shingo Ashizawa,"Kansai University of International Studies, JapanPoster session (incl. refreshment break)"
Haraldur Audunsson,"Reykjavik University, IcelandCurriculum Redesign"
Haraldur Auðunsson,"Reykjavik University, IcelandWS session 2-3-05 Codesigning an expedition semester around Europe for future responsible engineers"
Freeha Azmat,"University of Warwick, United KingdomAttracting Students to STEM EducationGender and Engineering ExperiencesPresenterPerspectives on AIPresenter"
André Baier,"Technische Universität Berlin, GermanySIG Workshop 1-02 What conflicts does sustainability bring to engineering education?"
Diana Bairaktarova,"Virginia Tech, United States of America;Virginia Polytechnic Institute and State University, United States of AmericaEducating the Whole EngineerPresenterEngagement and DisengagementWS session 3-3-09 Promoting friendship through teamwork in undergraduare engineering: Exploring together the role of the instructor"
Tara Baldacchino,"The University of Sheffield, United KingdomInclusivity & Belonging"
Juliane Balder,"Industrial Information Technology, TU Berlin, GermanyPBL in PracticePresenter"
Krys Bangert,"The University of Sheffield, United KingdomSimulations in Engineering Education"
Tina Baradaran,"University of New South Wales, AustraliaSustainability in Technical DisciplinesPresenter"
Nael Barakat,"University of Texas at Tyler, United States of AmericaAI in Engineering EducationPresenter"
Orsolya Barna,"Budapest University of Technology and Economics, HungaryCognition and Metacognition"
Martin Barrett,Technical University DublinOnline and Onsite Learning
Gianni Bartoli,"University of Florence, ItalyDiversity in Engineering Education Experiences"
Arlinta Barus,"Vilnius University;Del Institute of Technology, IndonesiaCurriculum RedesignWS session 2-3-05 Codesigning an expedition semester around Europe for future responsible engineers"
